stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1220601,,"boulangerie paris baguette R","",5.2533,-3.899639,,,0,BL007,,,
1220600,,"boulangerie paris baguette A","",5.254267,-3.899772,,,0,BL007,,,
1220701,,"arret colonel R","",5.2559,-3.899681,,,0,BL008,,,
1220700,,"arret colonel A","",5.255669,-3.899819,,,0,BL008,,,
1220801,,"villa verte R","",5.258497,-3.899714,,,0,BL009,,,
1220800,,"villa verte A","",5.257153,-3.899842,,,0,BL009,,,
1220901,,"depot ivoire R","",5.2599,-3.899731,,,0,BL010,,,
1220900,,"depot ivoire  A","",5.2588,-3.899867,,,0,BL010,,,
1221001,,"boulangerie gnankan nancie R","",5.2629,-3.899797,,,0,BL011,,,
1221000,,"boulangerie gnankan nancie A","",5.260894,-3.899864,,,0,BL011,,,
1221100,,"Terminus Poteaux","",5.263278,-3.899997,,,0,BL012,,,
1145300,,"Arrêt Nid de Cocody","",5.342183,-4.003053,,,0,CA032,,,
1147300,,"Kairos","",5.411897,-3.982008,,,0,CC002,,,
1147301,,"Pressing Canaan","",5.411617,-3.9828,,,0,CC002,,,
1147800,,"Batim CI","",5.410156,-3.984664,,,0,CC007,,,
1153000,,"Eglise St Jean R","",5.335772,-4.002856,,,0,CH016,,,
1153001,,"Eglise St Jean A","",5.336014,-4.003178,,,0,CH016,,,
1154300,,"PMI Cocody R","",5.334231,-4.000361,,,0,CM003,,,
1154301,,"PMI Cocody A","",5.333519,-4.000267,,,0,CM003,,,
1157400,,"Ecole libanaise A","",5.328422,-3.945364,,,0,CQ022,,,
1157401,,"Ecole Libanaise R","",5.3283,-3.944808,,,0,CQ022,,,
1157500,,"Pharmacie Mpouto A","",5.328475,-3.948931,,,0,CQ023,,,
1157501,,"Pharmacie Mpouto R","",5.328278,-3.948978,,,0,CQ023,,,
1157600,,"Mosquée Blanche R","",5.328722,-3.950783,,,0,CQ024,,,
1157601,,"Mosquée Blanche A","",5.329081,-3.951303,,,0,CQ024,,,
1157700,,"Lavage R","",5.329392,-3.95295,,,0,CQ025,,,
1157701,,"Lavage A","",5.329444,-3.952731,,,0,CQ025,,,
1158700,,"Chantier","",5.329731,-3.953969,,,0,CQ035,,,
1158800,,"Arret DC10","",5.329122,-3.952069,,,0,CQ036,,,
1221200,,"FORUM ADJAME","",5.344797,-4.026097,,,0,DA018,,,
1224200,,"MARCHE GOURO","",5.348197,-4.0246,,,0,DA019,,,
1126800,,"Terminus Djibi Village","",5.456356,-3.972856,,,0,AA001,,,
1126900,,"Arret Djibi Village","",5.456042,-3.973189,,,0,AA002,,,
1127000,,"Ancien Terminus Biabou R","",5.445503,-3.978092,,,0,AA003,,,
1127001,,"Ancien Terminus Biabou A","",5.445414,-3.978386,,,0,AA003,,,
1127100,,"Chapelle St Jean Baptiste R","",5.442264,-3.982142,,,0,AA004,,,
1127101,,"Chapelle St Jean Baptiste A","",5.442689,-3.981781,,,0,AA004,,,
1127200,,"Quincaillerie R","",5.440614,-3.984414,,,0,AA005,,,
1127201,,"Quicaillerie A","",5.440933,-3.984292,,,0,AA005,,,
1127300,,"Cimetière Abobo-baoule R","",5.438242,-3.986586,,,0,AA006,,,
1127301,,"Cimétière Abobo Baoulé A","",5.438883,-3.986381,,,0,AA006,,,
1127400,,"Pharmacie Belville R","",5.434039,-3.988419,,,0,AA007,,,
1127401,,"Pharmacie Belville A","",5.433719,-3.988667,,,0,AA007,,,
1127500,,"Hotel Felling R","",5.431739,-3.988858,,,0,AA008,,,
1127501,,"Hotel Felling A","",5.431653,-3.988989,,,0,AA008,,,
1127600,,"GS Kiyala R","",5.429217,-3.989214,,,0,AA009,,,
1127601,,"GS Kiyala A","",5.429011,-3.989397,,,0,AA009,,,
1127700,,"Arrêt Celeste R","",5.426028,-3.989642,,,0,AA010,,,
1127701,,"Arret Celeste A","",5.425692,-3.989906,,,0,AA010,,,
1127800,,"Hopital Abobo-Baoulé R","",5.421839,-3.990306,,,0,AA011,,,
1127801,,"Hopital Abobo Baoulé A","",5.422333,-3.990367,,,0,AA011,,,
1127900,,"34e Arrondissement R","",5.419839,-3.99065,,,0,AA012,,,
1127901,,"34e Arrondissement A","",5.419686,-3.990817,,,0,AA012,,,
1128000,,"Terminus Abobo-Baoulé","",5.415875,-3.993183,,,0,AA013,,,
1128100,,"Abobo Baoulé R","",5.415642,-3.992542,,,0,AA014,,,
1128101,,"Abobo Baoule A","",5.415603,-3.992964,,,0,AA014,,,
1128500,,"ANADER Abobo R","",5.413794,-4.006133,,,0,AA019,,,
1128501,,"ANADER Abobo A","",5.413692,-4.006339,,,0,AA019,,,
